iter	Passed	Remaining
0	49	49338
1	92	46104
2	135	44874
3	180	44856
4	225	44788
5	269	44577
6	309	43972
7	353	43838
8	399	43954
9	442	43795
10	482	43367
11	523	43118
12	568	43161
13	610	43002
14	655	43065
15	696	42840
16	735	42554
17	779	42535
18	821	42438
19	863	42322
20	906	42267
21	946	42056
22	989	42030
23	1029	41876
24	1074	41896
25	1115	41789
26	1159	41770
27	1199	41632
28	1237	41441
29	1276	41285
30	1316	41165
31	1354	40984
32	1396	40913
33	1438	40862
34	1474	40654
35	1513	40537
36	1553	40422
37	1591	40279
38	1628	40120
39	1671	40109
40	1708	39971
41	1747	39868
42	1789	39837
43	1829	39746
44	1869	39675
45	1912	39654
46	1948	39506
47	1985	39387
48	2028	39359
49	2067	39279
50	2106	39192
51	2144	39094
52	2187	39089
53	2233	39122
54	2275	39090
55	2321	39138
56	2366	39153
57	2406	39092
58	2450	39083
59	2490	39020
60	2529	38936
61	2566	38832
62	2604	38730
63	2641	38636
64	2679	38543
65	2716	38447
66	2756	38389
67	2798	38352
68	2837	38285
69	2872	38156
70	2908	38053
71	2944	37950
72	2982	37869
73	3017	37763
74	3055	37684
75	3091	37584
76	3132	37546
77	3173	37513
78	3212	37456
79	3251	37387
80	3292	37350
81	3335	37338
82	3374	37279
83	3422	37325
84	3465	37302
85	3509	37297
86	3553	37290
87	3596	37271
88	3637	37230
89	3683	37243
90	3725	37216
91	3762	37131
92	3801	37073
93	3841	37029
94	3879	36961
95	3924	36952
96	3966	36928
97	4008	36895
98	4047	36840
99	4084	36759
100	4123	36701
101	4159	36617
102	4193	36519
103	4231	36455
104	4271	36405
105	4308	36333
106	4346	36278
107	4386	36228
108	4423	36155
109	4464	36120
110	4505	36086
111	4552	36097
112	4592	36051
113	4636	36034
114	4671	35950
115	4711	35903
116	4754	35881
117	4801	35890
118	4848	35897
119	4890	35863
120	4940	35889
121	4975	35809
122	5013	35745
123	5050	35676
124	5087	35611
125	5125	35550
126	5162	35483
127	5199	35421
128	5238	35372
129	5275	35302
130	5312	35239
131	5352	35198
132	5392	35152
133	5430	35094
134	5470	35054
135	5514	35033
136	5556	35004
137	5600	34981
138	5641	34947
139	5678	34884
140	5718	34835
141	5755	34775
142	5791	34711
143	5829	34654
144	5868	34602
145	5909	34566
146	5947	34513
147	5985	34457
148	6022	34394
149	6062	34352
150	6100	34302
151	6135	34231
152	6179	34207
153	6212	34129
154	6248	34062
155	6284	34002
156	6326	33967
157	6366	33927
158	6404	33874
159	6446	33842
160	6480	33768
161	6521	33737
162	6558	33675
163	6594	33617
164	6631	33559
165	6667	33496
166	6709	33466
167	6748	33423
168	6787	33373
169	6823	33313
170	6859	33253
171	6896	33197
